STT,"Ý định (Tên intent bắt buộc chỉ chứa các chữ cái thường, số và gạch chân)",DESCRIPTION,Mô tả
3,tktt_giaodich_apdung,Dịch vụ nào được sử dụng tài khoản trực tuyến,
4,tktt_giaodich_apdung,dịch vụ nào được sử dụng tktt,
5,tktt_giaodich_apdung,có dùng tkktt thanh toán hóa đơn được không,
6,tktt_giaodich_apdung,gửi tiền bằng tài khoản trực tuyến được không,
7,tktt_giaodich_apdung,chuyển tiền ngoài hệ thống với tktt được không,
8,tktt_giaodich_apdung,tôi thanh toán hóa đơn được không,
9,tktt_giaodich_apdung,tôi chuyển tiền bằng tài khoản trực tuyến được không,
10,tktt_giaodich_apdung,tôi chuyển tiền qua acb như thế nào,
11,tktt_giaodich_apdung,gửi tiền qua acb như thế nào,
12,tktt_giaodich_apdung,hóa đơn,
13,tktt_giaodich_apdung,hóa đơn điện nước,
14,tktt_giaodich_apdung,gửi tiền,
15,tktt_giaodich_apdung,chuyển khoản,
16,tktt_giaodich_apdung,hóa đơn tiền học,
17,tktt_giaodich_apdung,nộp tiền học,
18,tktt_giaodich_apdung,tôi chuyển tiền liên ngân hàng được không,
19,tktt_giaodich_apdung,tôi muốn chuyển tiền đến ngân hàng bidv được không,
20,tktt_giaodich_apdung,thanh toán hóa đơn nước hộ tôi được không,
21,tktt_giaodich_apdung,tôi muốn gửi tiết kiệm được không?,
22,tktt_giaodich_apdung,chuyển tiền được không,
23,tktt_giaodich_apdung,tài khoản trực tuyến chuyền tiền được không,
24,tktt_giaodich_apdung,tài khoản trực tuyến có chuyền tiền được không,
25,tktt_giaodich_apdung,gửi tiền được không,
4,bat_dau,cho mình hỏi với,
5,bat_dau,cho anh hỏi chút,
6,bat_dau,à mình hỏi chút với,
7,bat_dau,em có thể làm được gì,
8,bat_dau,em có thể hỗ trợ gì,
9,bat_dau,mình muốn hỏi,
10,bat_dau,tôi muốn hỏi,
11,bat_dau,em biết tư vấn gì,
12,bat_dau,thế anh hỏi nhé,
13,bat_dau,em biết gì để anh hỏi nào,
14,bat_dau,em thì có thể giúp gì cho anh,
15,bat_dau,em có những chức năng gì,
16,bat_dau,giúp anh cái này với,
17,bat_dau,anh hỏi cái này với,
18,bat_dau,em cho anh hỏi,
19,bat_dau,bot ơi cho hỏi với,
20,bat_dau,em đã học được những gì rồi,
21,bat_dau,ACB đã dạy gì cho em rồi,
22,bat_dau,em được dạy những gì rồi,
23,bat_dau,"trả lời hay đấy, em biết làm những gì",
24,bat_dau,cần giúp đỡ,
25,bat_dau,bạn cung cấp những dịch vụ nào nhiều thế?,
26,bat_dau,bạn cung cấp dịch vụ gì,
27,bat_dau,admin trợ giúp tôi vớ,
28,bat_dau,hỗ trợ tôi với bot ơi,
29,bat_dau,hỗ trợ mình với,
5,dong_y,ừ,
6,dong_y,ok em,
7,dong_y,ok bạn,
8,dong_y,chuẩn đấy,
9,dong_y,được đấy,
10,dong_y,đồng ý luôn,
11,dong_y,mình hiểu rồi,
12,dong_y,hiểu rồi,
13,dong_y,ok nhé,
14,dong_y,hiểu ý bạn rồi,
15,dong_y,ok,
16,dong_y,uh,
17,dong_y,ừ em,
18,dong_y,uh bạn,
19,dong_y,uhm,
20,dong_y,ngon đấy,
21,dong_y,tốt đấy,
22,dong_y,ờ,
23,dong_y,à ừ,
24,dong_y,uh ok,
25,dong_y,uh cũng đúng đấy,
6,chuyen_gdv,Em gặp nhân viên tư vấn,
7,chuyen_gdv,Không có nhân viên tư vấn hỗ trợ?,
8,chuyen_gdv,Chuyển nhân viên hộ tôi,
9,chuyen_gdv,Tôi muốn gặp tổng đài viên,
10,chuyen_gdv,tôi cần gặp nhân viên ngay,
11,chuyen_gdv,"tôi không muốn chat với bot, chuyển hộ sang người",
12,chuyen_gdv,Chuyển người hộ với,
13,chuyen_gdv,Gặp điện thoại viên như thế nào,
14,chuyen_gdv,Chuyển hộ tôi sang ĐTV hỗ trợ,
15,chuyen_gdv,Chuyển ĐTV hộ tôi,
16,chuyen_gdv,Nối máy sang ĐTV hỗ trợ nhé,
17,chuyen_gdv,Tôi muốn ĐTV hỗ trợ,
18,chuyen_gdv,Tôi muốn nv hỗ trợ,
19,chuyen_gdv,Em cần gặp tổng đài,
20,chuyen_gdv,Cho xin số tong dai di động vina phone,
21,chuyen_gdv,đtv,
22,chuyen_gdv,chuyển gdv,
23,chuyen_gdv,chuyển đtv,
24,chuyen_gdv,"Bot trả lời chán quá, tôi cần gặp nhân viên",
25,chuyen_gdv,tôi muốn liên lạc với nhân viên,
26,chuyen_gdv,tôi muốn gặp nhân viên hỗ trợ,
27,chuyen_gdv,làm sao để liên lạc với đtv,
28,chuyen_gdv,cho tôi gặp đtv,
29,chuyen_gdv,liên hệ đtv,
30,chuyen_gdv,gặp đtv,
31,chuyen_gdv,Liên hệ chúng tôi,
32,chuyen_gdv,hotline ACB,
33,chuyen_gdv,số điện thoại ACB,
34,chuyen_gdv,hotline ACB là gì,
35,chuyen_gdv,Gặp tư vấn viên,
36,chuyen_gdv,gặp tổng đài viên,
37,chuyen_gdv,Số bên trung tâm hỗ trợ là gì?,
38,chuyen_gdv,số bên trung tâm hỗ trợ acb là gì,
7,hoi_ve_bot,tôi muốn biết tuổi của bạn,
8,hoi_ve_bot,bạn bao nhiêu tuổi rồi?,
9,hoi_ve_bot,Tên bạn là gì,
10,hoi_ve_bot,nói về bạn đi,
11,hoi_ve_bot,Bạn là ai thế,
12,hoi_ve_bot,tên em là gì?,
13,hoi_ve_bot,Cái gì đây?,
14,hoi_ve_bot,Đây là ai?,
15,hoi_ve_bot,hãy giới thiệu bản thân,
16,hoi_ve_bot,Đây là gì?,
17,hoi_ve_bot,giới thiệu về bạn đi,
18,hoi_ve_bot,em là ai?,
19,hoi_ve_bot,bạn có thể giới thiệu bản thân không?,
20,hoi_ve_bot,mày có bị gay ko,
21,hoi_ve_bot,mày bị lesbian à,
22,hoi_ve_bot,bạn là gay à,
23,hoi_ve_bot,bạn là nam hay nữ,
24,hoi_ve_bot,mày là trai hay gái,
25,hoi_ve_bot,bạn là đàn ông hay phụ nữ,
26,hoi_ve_bot,bạn có phải người đồng tính k?,
27,hoi_ve_bot,Bạn sinh ngày bao nhiêu?,
28,hoi_ve_bot,sinh nhật của bạn là bao nhiêu,
29,hoi_ve_bot,mày sinh ngày nào?,
30,hoi_ve_bot,bạn sinh khi nào thế?,
31,hoi_ve_bot,ngày sinh nhật của bạn là ngày nào,
32,hoi_ve_bot,khi nào thì tổ chức sinh nhật,
33,hoi_ve_bot,ngày sinh của bạn là bao nhiêu?,
34,hoi_ve_bot,bạn đẻ khi nào,
35,hoi_ve_bot,Ngày bạn đẻ ra là khi nào,
36,hoi_ve_bot,Ai đẻ ra bạn đó,
37,hoi_ve_bot,Ai sinh ra mày thế,
38,hoi_ve_bot,Mày được sinh ra bởi ai,
39,hoi_ve_bot,Bot được tạo ra bởi ai,
40,hoi_ve_bot,Bạn được xây bởi bên nào thế,
41,hoi_ve_bot,Bot được sây bởi ai thế,
42,hoi_ve_bot,Ai lập trình ra bạn,
43,hoi_ve_bot,bố của bạn là ai,
44,hoi_ve_bot,mẹ của bạn là ai,
45,hoi_ve_bot,ai là người sáng tạo ra bạn?,
46,hoi_ve_bot,ai là bố đẻ của bạn,
47,hoi_ve_bot,ai là mẹ của bạn,
48,hoi_ve_bot,ai đẻ ra mày?,
49,hoi_ve_bot,cho mình biết bạn sinh ra ở đâu,
50,hoi_ve_bot,Quê bạn ở đâu,
51,hoi_ve_bot,cho mình biết quê hương của bạn,
52,hoi_ve_bot,Bạn đang ở đâu đấy,
53,hoi_ve_bot,bạn sinh sống ở đâu,
54,hoi_ve_bot,Người yêu của bot là ai thế,
55,hoi_ve_bot,Ny của bot là ai thế,
56,hoi_ve_bot,Bot đang yêu ai thế,
57,hoi_ve_bot,Bot đang thích ai thế,
58,hoi_ve_bot,Người tình của bot là ai,
59,hoi_ve_bot,Ai là người yêu của bot thế,
60,hoi_ve_bot,Bot đã kết hôn chưa,
61,hoi_ve_bot,bạn đã cưới ai đó,
62,hoi_ve_bot,Chồng bạn là ai,
63,hoi_ve_bot,Vk bạn là ai thế,
64,hoi_ve_bot,Bạn sẽ kết hôn với ai thế,
65,hoi_ve_bot,bót có người yêu k,
66,hoi_ve_bot,bot bê đê,
67,hoi_ve_bot,bot yêu ai chưa,
68,hoi_ve_bot,giới tính,
69,hoi_ve_bot,bot là nam hay nữ vậy ?,
70,hoi_ve_bot,bot có người yêu chưa ?,
71,hoi_ve_bot,bot bê đê đúng không,
72,hoi_ve_bot,em là người hay robot ?,
73,hoi_ve_bot,ai code ra bot,
74,hoi_ve_bot,Ai đẻ ra em thế,
75,hoi_ve_bot,bố em có phải là tên trộm,
76,hoi_ve_bot,giới thiệu về bot,
77,hoi_ve_bot,bot là nam hay nữ,
78,hoi_ve_bot,bot học hết lớp mấy,
79,hoi_ve_bot,ai làm ra em vậy,
80,hoi_ve_bot,ngày sinh,
81,hoi_ve_bot,bố m là ai,
82,hoi_ve_bot,ai tạo ra mày,
83,hoi_ve_bot,bạn trai em đâu,
84,hoi_ve_bot,Bot này chạy bằng cơm à,
85,hoi_ve_bot,Thế bạn có người yêu chưa,
86,hoi_ve_bot,trình độ học vấn sao,
87,hoi_ve_bot,Em có người yêu chưa,
88,hoi_ve_bot,bot cần bồ nhí ko,
89,hoi_ve_bot,Bot nhà ở đâu thế,
90,hoi_ve_bot,Đi làm ở đâu,
91,hoi_ve_bot,Gia đình bạn gồm những ai,
92,hoi_ve_bot,Gia đình em bao người,
93,hoi_ve_bot,có những ai trong gia đình em,
94,hoi_ve_bot,cho anh xin info nhé em gái,
95,hoi_ve_bot,cho mh xin sđt với,
96,hoi_ve_bot,bot là sản phẩm của công ty nào thế?,
97,hoi_ve_bot,Giới thiệu về bản thân bạn,
98,hoi_ve_bot,Bạn là ai,
99,hoi_ve_bot,Bạn đến từ đâu,
100,hoi_ve_bot,Giới tính của bạn,
101,hoi_ve_bot,sinh năm bao nhiêu,
102,hoi_ve_bot,nó sinh năm bao nhiêu,
103,hoi_ve_bot,tên gì,
104,hoi_ve_bot,lấy chồng chưa,
105,hoi_ve_bot,bao giờ em chống lầy,
106,hoi_ve_bot,nhà ở đâu,
107,hoi_ve_bot,nhà em ở chỗ nào,
108,hoi_ve_bot,em làm nghề gì,
109,hoi_ve_bot,nghề nghiệp của em là gì,
110,hoi_ve_bot,em làm việc ở đâu,
111,hoi_ve_bot,em làm bộ phận nào,
8,noi_vui,Nói chuyện với bạn chán quá,
9,noi_vui,nói chuyện với mày chán quá,
10,noi_vui,nói chuyện với bạn tẻ nhạt quá,
11,noi_vui,nói chuyện vs bạn chán quá,
12,noi_vui,bạn tẻ nhạt quá,
13,noi_vui,I miss you,
14,noi_vui,tớ nhớ cậu,
15,noi_vui,tao nhớ mày,
16,noi_vui,em nhớ anh,
17,noi_vui,mình nhớ bạn,
18,noi_vui,mình thích bạn,
19,noi_vui,i miss u,
20,noi_vui,anh nhớ em,
21,noi_vui,Mày phiền phức quá,
22,noi_vui,bạn làm phiền tôi nhiều quá đấy,
23,noi_vui,mày làm tao khó chịu đó,
24,noi_vui,khó chịu thật đấy,
25,noi_vui,tôi thấy bạn thật là phiền phức,
26,noi_vui,thật là phiền phức,
27,noi_vui,phiền phức quá,
28,noi_vui,bạn phiền quá,
29,noi_vui,bạn thật là khó chịu,
30,noi_vui,tao thấy mày thật là phiền phức,
31,noi_vui,Bạn thông minh quá,
32,noi_vui,bạn thật là giỏi,
33,noi_vui,wow giỏi quá,
34,noi_vui,bạn biết nhiều quá,
35,noi_vui,bạn giỏi thật đấy,
36,noi_vui,em thông minh nhỉ,
37,noi_vui,bạn giỏi quá,
38,noi_vui,bạn thật là thông minh,
39,noi_vui,em giỏi quá,
40,noi_vui,I like you,
41,noi_vui,tao thích mày,
42,noi_vui,"anh ơi, em nghĩ là em rất thích anh",
43,noi_vui,"em ơi, anh thích em quá",
44,noi_vui,anh thích em lắm,
45,noi_vui,em thích anh lắm,
46,noi_vui,anh rất yêu em bot à,
47,noi_vui,yêu mày lắm cơ,
48,noi_vui,"babie à, anh yêu em nhiều lắm",
49,noi_vui,I love u,
50,noi_vui,tao yêu mày,
51,noi_vui,anh yêu em,
52,noi_vui,em iu anh,
53,noi_vui,anh nghĩ anh yêu em mất rồi,
54,noi_vui,em yêu anh,
55,noi_vui,tớ yêu cậu,
56,noi_vui,mình yêu bạn,
57,noi_vui,tôi nghĩ mình yêu bạn mất rồi,
58,noi_vui,Bạn đáng yêu quá,
59,noi_vui,trông bạn đáng yêu quá,
60,noi_vui,bạn thật là xinh đẹp,
61,noi_vui,bạn thật đáng iu,
62,noi_vui,nay trông bạn xinh quá,
63,noi_vui,bạn hấp dẫn quá,
64,noi_vui,bạn thật hấp dẫn,
65,noi_vui,bạn đẹp trai quá,
66,noi_vui,bạn xinh quá,
67,noi_vui,trông bạn thật đẹp trai,
68,noi_vui,trông bạn hấp dẫn quá,
69,noi_vui,nay trông bạn đẹp quá,
70,noi_vui,nay trông em xinh quá,
71,noi_vui,hí hí bot ơi yêu mình nhá,
72,noi_vui,bot nhiệt tình ghê,
73,noi_vui,Sao bot dốt thế,
74,noi_vui,sao bot ngu thế nhỉ,
75,noi_vui,Bot gì lôm côm thế,
76,noi_vui,Bot dốt vãi,
77,noi_vui,Sao bot ngu thế,
78,noi_vui,Bot lôm côm vãi,
79,noi_vui,bot kiêu thế,
80,noi_vui,m thông minh đó,
81,noi_vui,em thật là ngu,
82,noi_vui,bot ngon vc,
83,noi_vui,bot giỏi quá,
84,noi_vui,ngu,
85,noi_vui,anh Quý đẹp trai lắm đúng không ?,
86,noi_vui,bot óc chó,
87,noi_vui,bot thông  minh,
88,noi_vui,bot gà,
89,noi_vui,bot khôn,
90,noi_vui,bot hay,
91,noi_vui,bot chans qua,
92,noi_vui,bot ngu,
93,noi_vui,bot dốt,
94,noi_vui,ngu lắm,
95,noi_vui,Người tên Huy đều là người đẹp trai đúng không?,
96,noi_vui,bạn thấy tôi thế nào?,
97,noi_vui,sao em xàm thế,
98,noi_vui,ngáo ah,
99,noi_vui,yêu anh được không,
100,noi_vui,bó tay,
101,noi_vui,Đẹp zai k bot,
102,noi_vui,bị ngơ à,
103,noi_vui,Nói chuyện với em chán quá !,
104,noi_vui,xinh thế,
105,noi_vui,sao m dốt thế,
106,noi_vui,chán em quá,
107,noi_vui,sao bot ngu thế chat mãi không hiểu,
108,noi_vui,Bot trả lời chán vậy,
109,noi_vui,Ngáo hả em,
110,noi_vui,Sao chậm hiểu quá vậy,
111,noi_vui,Đáng yêu quá cơ,
112,noi_vui,Cái gì cũng biết,
113,noi_vui,trả lời tự động mà cũng thông minh nhỉ,
114,noi_vui,lởm thật,
115,noi_vui,Yêu bạn quá à,
116,noi_vui,Thông minh quá,
117,noi_vui,Sao bạn cái gì cũng giỏi vậy,
118,noi_vui,Ngu quá á,
119,noi_vui,Ngu vãi cơ,
120,noi_vui,Sao mày ngu quá vậy,
121,noi_vui,Ngu vãi chưởng,
122,noi_vui,robot trả lời chán thế,
123,noi_vui,Làm thế nào để kiếm thật nhiều tiền,
124,noi_vui,Làm cách nào để kiếm nhiều tiền,
125,noi_vui,kiếm tiền như thế nào,
126,noi_vui,làm sao để có nhiều tiền,
127,noi_vui,Em thật là ngu ngốc,
128,noi_vui,Tôi Yêu bạn,
129,noi_vui,em khôn thế,
130,noi_vui,em ngu thế,
131,noi_vui,anh đang khen em đó,
9,tinh_toan_van,1 cộng 1 bằng mấy,
10,tinh_toan_van,1 cộng 1,
11,tinh_toan_van,10 trừ 2,
12,tinh_toan_van,132424 nhân 2343 bằng bao nhiêu,
13,tinh_toan_van,434543 trừ 2323,
14,tinh_toan_van,223432 cộng 3499,
15,tinh_toan_van,2142344 trừ 324324 bằng bao nhiêu,
16,tinh_toan_van,12324 + 234324 bằng bao nhiêu,
17,tinh_toan_van,234324 chia 32432,
18,tinh_toan_van,213214 chia cho tổng của 234324 với 132,
19,tinh_toan_van,234324 nhân với tổng của 234 và 343,
20,tinh_toan_van,biết làm phép tính không,
21,tinh_toan_van,biết tính toán không,
22,tinh_toan_van,biết nhân chia cộng trừ không,
23,tinh_toan_van,biết tính cộng không,
24,tinh_toan_van,học phép nhân chưa em,
25,tinh_toan_van,học cách chia 2 số chưa,
26,tinh_toan_van,phép trừ em biết tính không,
27,tinh_toan_van,em biết làm phép nhân không,
28,tinh_toan_van,em biết làm phép chia à,
29,tinh_toan_van,biết tính toán à em,
30,tinh_toan_van,10 - 8 =,
31,tinh_toan_van,5 + 3 =,
32,tinh_toan_van,342344*34343 =,
33,tinh_toan_van,213213/3434 =,
34,tinh_toan_van,890/9 =,
35,tinh_toan_van,563*7=,
36,tinh_toan_van,234324 - 556 =,
37,tinh_toan_van,3244+904 =,
38,tinh_toan_van,làm phép tính như nào,
39,tinh_toan_van,cộng trừ nhân chia à,
40,tinh_toan_van,làm phép tính là như nào nhỉ,
41,tinh_toan_van,em có thể tính toán được à,
42,tinh_toan_van,em có thể làm phép tính được à,
43,tinh_toan_van,làm phép tính thử xem em,
44,tinh_toan_van,làm sao để biết em biết làm phép tính nhỉ,
45,tinh_toan_van,làm sao chứng mình được là em biết tính toán nhỉ,
46,tinh_toan_van,98*63,
47,tinh_toan_van,1452+897,
10,chuc_tet,Em anna gửi lời chúc đến Phó Chủ tịch nước nhé,
11,chuc_tet,Em Anna chúc tết Phó chủ tịch nước nhé,
12,chuc_tet,Em Anna gửi lời chúc đến Phó chủ tịch nước Ngọc Thịnh nhé,
13,chuc_tet,Anna mừng tết Phó chủ tịch nước nhé,
14,chuc_tet,Anna chúc mừng năm mới Phó chủ tịch nước nhé,
15,chuc_tet,Anna chúc tết Phó chủ tịch nước nhé,
16,chuc_tet,em chúc tết đi,
17,chuc_tet,em chúc tết phó chủ tịch nước nhé,
18,chuc_tet,em chúc tết phó chủ tịch nước đặng ngọc thịnh nhé,
19,chuc_tet,em có muốn gửi lời chúc gì không,
20,chuc_tet,chúc tết đi,
21,chuc_tet,anna gửi lời chúc đi,
22,chuc_tet,em gửi lời chúc tết đi,
23,chuc_tet,em gửi lời chúc năm mới đi,
24,chuc_tet,gửi lời chúc đầu năm nào anna,
25,chuc_tet,em có muốn chúc tết không,
26,chuc_tet,anna gửi lời chúc đến phó chủ tịch nước Đặng ngọc thịnh đi,
27,chuc_tet,em chúc tết phó chủ tịch nước đi,
28,chuc_tet,em chúc tết nào,
29,chuc_tet,em gửi lời chúc tết phó chủ tịch nước nhé,
30,chuc_tet,em gửi lời chúc đến phó chủ tịch nước nhé,
31,chuc_tet,em gửi lời chúc đầu năm đi,
32,chuc_tet,em gửi lời chúc mừng năm mới đầu xuân đi,
33,chuc_tet,anna chúc đầu xuân đi,
34,chuc_tet,anna chúc mừng đầu xuân đi,
35,chuc_tet,em có muốn nói gì không,
36,chuc_tet,anna muốn chúc gì khôn,
37,chuc_tet,anna muốn chúc gì không,
38,chuc_tet,anna có muốn gửi lời chúc không,
39,chuc_tet,anna gửi lời chúc nhé,
11,mua_sam,thịt bò khô bao nhiêu một lạng,
12,mua_sam,Tết mua nhà ở đâu,
13,mua_sam,Nên mua xe đạp loại gì,
14,mua_sam,nên mua nhà ở đâu,
15,mua_sam,nên mua máy tính loại gì thì tốt,
16,mua_sam,nên mua máy tính để bàn hay laptop,
17,mua_sam,nên mua gì,
18,mua_sam,nên mua đồ gì cho bạn thân,
19,mua_sam,Nên mua bình nước màu gì,
20,mua_sam,mua rượu ở đâu,
21,mua_sam,mua rượu được không,
22,mua_sam,Mua  bò ở đâu thì ngon,
23,mua_sam,cách mua quà tết cho người thân,
24,mua_sam,tết thì nên mua gì,
25,mua_sam,tôi muốn mua trái phiếu,
26,mua_sam,tôi muốn mua cổ phiếu hdbank,
27,mua_sam,trái phiếu hdbank có bán không,
28,mua_sam,tết năm nay nên mua gì,
29,mua_sam,thưởng tết thì mua gì,
30,mua_sam,mua gì ăn tết,
31,mua_sam,có tiền nên mua gì,
32,mua_sam,mua  gì,
33,mua_sam,tôi muốn mua sắm,
12,ru_re,mai đi liên hoan với phòng a không ?,
13,ru_re,trưa đi ăn vs anh không,
14,ru_re,có biết chịch dạo là gì k,
15,ru_re,Chịc k,
16,ru_re,đi chơi không,
17,ru_re,đi chơi k,
18,ru_re,"Ê, đi chơi không",
19,ru_re,Đi chơi với tao không,
20,ru_re,Bỏ đi chơi đi,
21,ru_re,Đi chơi thích lắm,
22,ru_re,Nghỉ việc đi,
23,ru_re,nhậu hơm robot,
24,ru_re,đi du lịch không,
25,ru_re,Tối nay đi bay lắc không,
26,ru_re,đi bay lắc không,
27,ru_re,Hôm nay có đi ăn tân niên không,
28,ru_re,hôm nay đi đón giao thừa không,
29,ru_re,Hôm nay có đi ăn phở không,
30,ru_re,đi tất niên không,
31,ru_re,đi shopping không,
32,ru_re,đi nhà sách không,
33,ru_re,đi mua đồ mới nha,
34,ru_re,đi mua đồ không,
13,doa_dam,gọi đại ca ra đây nói chuyện với t,
14,doa_dam,m đừng giả vờ,
15,doa_dam,có tin t đánh chết m* m không?,
16,doa_dam,t thích chửi  đấy,
17,doa_dam,f*ck,
18,doa_dam,ý thức không bằng đống gạch,
19,doa_dam,"t đánh sập m luôn nhé
t đánh sập m luôn nhé
v
t đánh sập m luôn nhé",
20,doa_dam,t đánh sập m luôn nhé,
21,doa_dam,đm,
22,doa_dam,choảng nhau k,
23,doa_dam,Cáu rồi đấy,
24,doa_dam,Mày bị sao vậy,
25,doa_dam,Quýnh lôn không,
26,doa_dam,Đánh bây giờ,
27,doa_dam,Chửi cho bớt ngu chứ,
28,doa_dam,"t đánh sập m luôn nhé_x000d_
t đánh sập m luôn nhé_x000d_
v_x000d_
t đánh sập m luôn nhé",
29,doa_dam,tao đang chat kiếm với mày đó,
30,doa_dam,nghe rõ tao nói cái gì không,
31,doa_dam,nghe tao nói gì không,
32,doa_dam,sao nó không trả lời mày ăn cơm,
33,doa_dam,"t đánh sập m luôn nhé_x000d__x000d_
t đánh sập m luôn nhé_x000d__x000d_
v_x000d__x000d_
t đánh sập m luôn nhé",
34,doa_dam,"t đánh sập m luôn nhé_x000d__x000d__x000d_
t đánh sập m luôn nhé_x000d__x000d__x000d_
v_x000d__x000d__x000d_
t đánh sập m luôn nhé",
14,so_thich,Sở thích của m là gì,
15,so_thich,mày thích chơi thể thao không?,
16,so_thich,Em thích đọc sách nào,
17,so_thich,Em có biết hát không,
18,so_thich,Mày thích cái gì nhất nhỉ,
19,so_thich,Bài hát em thích nhất là gì,
20,so_thich,Môn thể thao em thích là gì,
21,so_thich,Bạn thích chơi món gì,
22,so_thich,Khi rảnh bot thích làm gì nhất,
23,so_thich,Bot có thích làm thơ không,
24,so_thich,Bot có biết làm thơ không,
25,so_thich,Ca sĩ em thích là ai,
26,so_thich,Em hâm mộ ca sĩ nào nhỉ,
27,so_thich,em là fan của sơn tùng không,
28,so_thich,Bạn thích nghe loại nhạc gì,
29,so_thich,Loại nhạc em thích là gì thế,
30,so_thich,Nhạc em thích là gì',
31,so_thich,Em có thích xem phim không,
32,so_thich,Phim em thích là gì,
33,so_thich,Em thích xem phim gì nhỉ,
34,so_thich,Phim mày thích là gì thế,
35,so_thich,Mày thích xem loại phim nào,
36,so_thich,Kể tên phim mà em thích đi,
37,so_thich,Em hay xem phim gì,
38,so_thich,chơi nối từ ko,
39,so_thich,bot ăn kem gì,
40,so_thich,bây h bài nào đang hot trend,
41,so_thich,bot muốn ăn gì,
42,so_thich,Bạn có thích ăn rau dền không?,
43,so_thich,Thế em biết kể chuyện cười không?,
44,so_thich,Kể chuyện cười ,
45,so_thich,Sở thích của bạn là gì,
46,so_thich,Mày thích gì,
47,so_thich,Bạn thích gì nhất,
48,so_thich,Bot có biết sách nào nói về khoa học không?,
49,so_thich,"Bot có biết bài hát nào về giáng sinh không, hãy cho tôi biết tên một bài hát",
50,so_thich,tôi đang buồn hãy gợi ý cho tôi tên một bài hát,
51,so_thich,Bot ăn sáng chưa?,
52,so_thich,bot có thích conan không?,
53,so_thich,bot thích màu gì vậy/,
54,so_thich,Bạn thích ăn gì,
55,so_thich,đọc sách gì bạn ơi,
56,so_thich,robot đọc sách gì,
57,so_thich,sách gì,
58,so_thich,Robot có biết hát không ?,
59,so_thich,Thất tình thì nên nghe bài hát gì,
60,so_thich,Tâm trạng không vui nên nghe bài hát gì,
61,so_thich,truyện cười,
62,so_thich,robot có biết nấu ăn không,
63,so_thich,đang chán nghe bài gì,
64,so_thich,Đọc thơ đi bot,
65,so_thich,đọc thơ,
66,so_thich,làm thơ đi robot,
67,so_thich,làm thơ đi em,
68,so_thich,làm thơ đi bot,
69,so_thich,Kể chuyện vui,
70,so_thich,em cũng biết làm thơ à,
71,so_thich,em có biết kể chuyện không,
72,so_thich,em có biết làm thơ không,
73,so_thich,làm bài thơ anh nghe,
74,so_thich,kể anh câu chuyện nào em biết đi,
15,hoi_tham,Dạo này thế nào?,
